time,A_F,A_V,A_L,L_F,L_V,L_L,T_F,T_V,T_L,Action
340000,-131,1029,108,127,990,-10,19,1057,-116,0
340015,-111,1019,128,154,981,10,-9,1047,-116,0
340031,-151,1029,118,136,962,-20,0,1028,-135,0
340046,-111,1029,128,190,962,-20,-9,990,-135,0
340062,-111,1029,128,190,962,-20,-19,952,-135,0
340078,-111,1019,118,181,953,-30,-19,961,-135,0
340093,-111,1019,138,190,953,-30,-9,971,-145,0
340109,-101,1029,138,172,953,-40,-9,971,-116,0
340125,-101,1029,138,190,953,-20,9,961,-116,0
340140,-121,1029,118,190,962,-10,0,980,-126,0
340156,-111,1029,108,190,962,-20,0,980,-116,0
340171,-111,1019,128,172,962,-20,0,980,-116,0
340187,-111,1019,128,163,981,-20,0,990,-126,0
340203,-101,1029,118,172,972,-30,-9,1028,-135,0
340218,-121,1039,128,163,981,-20,0,1028,-135,0
340234,-111,1009,108,145,981,-20,0,1019,-135,0
340250,-111,1009,108,136,981,-20,9,1019,-126,0
340265,-121,1029,108,127,1000,-20,9,1028,-135,0
340281,-121,1029,118,109,972,-20,19,1038,-155,0
340296,-121,1019,128,127,990,-20,0,1028,-126,0
340312,-131,1009,118,109,990,-40,19,1009,-135,0
340328,-131,1009,118,127,972,-20,-9,1009,-135,0
340343,-131,1039,108,136,972,-30,0,1009,-135,0
340359,-131,1029,118,136,962,-20,0,1000,-116,0
340375,-141,1019,108,163,972,-10,0,1009,-155,0
340390,-141,1019,108,154,972,-30,0,1000,-145,0
340406,-141,1039,118,136,972,-30,-19,1019,-126,0
340421,-141,1039,118,136,972,-30,-9,1009,-155,0
340437,-141,1039,108,145,962,-10,-9,990,-135,0
340453,-141,1019,108,145,972,-20,-19,1009,-155,0
340468,-141,1029,99,145,972,-20,-9,1000,-145,0
340484,-141,1029,118,145,962,-20,0,1000,-135,0
340500,-131,1019,128,163,953,-10,-9,1000,-106,0
340515,-131,1009,108,154,972,0,-9,1009,-135,0
340531,-131,1029,108,154,972,-30,-9,980,-106,0
340546,-121,1009,108,163,981,-30,-9,1009,-116,0
340562,-131,1019,128,163,990,-10,0,1019,-145,0
340578,-131,1019,118,145,981,-30,0,1009,-126,0
340593,-111,1019,108,145,962,-10,19,980,-126,0
340609,-131,1029,118,136,981,-10,19,980,-126,0
340625,-131,1029,118,163,972,-20,0,1009,-145,0
340640,-121,1019,138,163,981,-10,0,1000,-135,0
340656,-151,1019,108,136,981,0,0,1000,-135,0
340671,-151,1029,118,145,981,20,-9,1009,-135,0
340687,-141,1029,128,154,972,-10,0,1000,-126,0
340703,-141,1029,99,145,962,-30,0,1009,-135,0
340718,-141,1029,128,136,981,-20,-9,1009,-126,0
340734,-151,1009,128,136,972,-10,9,1000,-126,0
340750,-131,1019,138,163,972,0,0,1009,-145,0
340765,-131,1029,128,118,981,10,19,1019,-135,0
340781,-141,1019,118,118,981,10,19,1019,-135,0
340796,-121,1029,108,109,990,0,-9,1028,-135,0
340812,-121,1000,148,136,1000,-50,0,1028,-145,0
340828,-161,1000,118,154,962,-30,-9,1000,-145,0
340843,-141,1009,89,145,972,-50,-29,1009,-126,0
340859,-151,1029,118,127,962,-30,-19,1009,-165,0
340875,-151,1049,99,145,972,-30,0,1000,-135,0
340890,-151,1039,108,163,962,-40,-9,1000,-116,0
340906,-141,1029,99,163,962,-30,-9,1000,-135,0
340921,-131,1019,148,190,972,-10,0,971,-145,0
340937,-141,1019,108,172,981,0,-9,990,-135,0
340953,-121,1068,108,172,962,-30,-9,1000,-126,0
340968,-111,1019,118,172,962,-20,9,980,-106,0
340984,-141,1019,108,163,962,-20,0,971,-97,0
341000,-121,1029,138,181,972,0,0,1000,-135,0
341015,-141,1019,108,181,962,-20,9,980,-116,0
341031,-121,1039,118,190,962,-20,9,980,-97,0
341046,-121,1019,108,190,962,10,0,980,-106,0
341062,-131,1029,118,163,962,-10,19,980,-97,0
341078,-121,1019,118,172,972,-20,0,1009,-116,0
341093,-141,1029,118,154,972,-20,-9,1028,-116,0
341109,-121,1029,118,172,981,-30,-9,1019,-116,0
341125,-131,1039,118,190,981,-20,-19,1009,-87,0
341140,-131,1049,138,190,1000,-60,0,1000,-106,0
341156,-141,1039,118,209,990,-60,-9,980,-97,0
341171,-141,1068,128,272,972,-60,-9,980,-67,0
341187,-101,1068,138,327,962,-70,-38,980,-87,0
341203,-111,1088,138,363,972,-30,-29,980,-126,0
341218,-101,1107,148,400,1009,-40,-87,980,-97,0
341234,-80,1147,178,518,1074,-50,-97,1019,-126,0
341250,-50,1215,198,563,1092,-70,-106,1019,-106,0
341265,-30,1343,178,527,1101,-80,-97,1019,-77,0
341281,10,1303,217,436,1064,-80,-48,1009,-58,0
341296,-40,1264,267,254,1046,-60,0,990,-48,0
341312,-80,1176,326,127,981,-30,48,1000,-19,0
341328,-151,1098,346,45,972,10,87,1038,-19,0
341343,-202,1000,306,-9,953,30,116,1038,-9,0
341359,-212,921,297,-72,953,60,116,1085,19,0
341375,-80,833,267,-36,916,60,116,1085,-19,0
341390,292,715,217,72,888,90,87,1066,-29,0
341406,505,666,178,172,916,101,48,1066,-29,0
341421,454,764,158,272,935,101,9,1057,-48,0
341437,585,843,237,281,898,80,19,1028,-9,0
341453,575,872,198,254,888,90,19,1009,29,0
341468,494,911,207,218,898,90,48,1009,19,0
341484,444,960,198,181,879,60,87,1000,48,0
341500,323,1000,198,190,833,80,106,1028,77,0
341515,242,1029,178,190,842,80,116,1038,58,0
341531,222,1078,188,209,833,80,135,1019,67,0
341546,161,1107,168,254,796,50,116,1009,87,0
341562,70,1127,168,209,805,30,126,990,77,0
341578,20,1098,158,172,796,50,116,952,87,0
341593,-30,1098,158,227,777,20,106,942,87,0
341609,-60,1107,138,254,777,10,106,952,67,0
341625,-80,1088,138,272,796,0,116,971,67,0
341640,-161,1117,158,372,805,-10,97,961,67,0
341656,-252,1147,138,427,842,-30,97,980,58,0
341671,-323,1156,168,500,833,-20,87,980,67,0
341687,-292,1186,138,590,787,-70,48,1000,58,0
341703,-404,1127,198,700,777,-60,19,1009,38,0
341718,-404,1127,198,781,768,-30,38,1000,38,0
341734,-505,1127,198,781,768,-30,29,1066,-48,0
341750,-636,1078,148,700,805,-10,87,1133,-97,0
341765,-717,1078,99,654,935,10,97,1228,-87,0
341781,-303,1166,108,663,1037,-90,48,1285,-67,0
341796,434,1117,99,1100,990,-212,-38,1190,-48,0
341812,1484,1049,158,1145,1027,-161,-38,1142,-126,0
341828,1878,980,-118,1145,1027,-161,-126,1133,-233,0
341843,-636,1254,207,472,879,-121,-116,990,-165,0
341859,171,1303,277,290,861,-80,38,876,58,0
341875,282,1137,188,145,870,-20,116,952,-48,0
341890,-40,1009,277,63,879,90,135,1057,-155,0
341906,212,990,168,100,824,131,155,1047,-19,0
341921,282,901,297,163,944,171,87,1152,-223,0
341937,121,980,287,309,962,151,58,1114,-184,0
341953,50,1068,356,327,990,151,0,1085,-145,0
341968,40,1127,188,163,990,101,-19,1057,-165,0
341984,101,990,168,136,990,111,-48,1047,-165,0
342000,30,1049,257,172,972,121,-29,1009,-174,0
342015,30,1039,237,263,981,101,-19,952,-165,0
342031,90,1019,237,281,925,111,-19,914,-135,0
342046,111,980,287,281,898,161,-19,914,-135,0
342062,111,980,287,281,907,121,-19,885,-174,0
342078,50,1019,277,345,898,70,-97,885,-194,0
342093,60,1000,257,318,888,50,-135,876,-194,0
342109,50,1019,237,354,898,70,-165,866,-174,0
342125,80,990,257,300,898,80,-203,904,-184,0
342140,0,1039,267,300,935,90,-194,914,-174,0
342156,40,1039,267,281,916,111,-155,923,-194,0
342171,-30,980,277,236,935,171,-145,990,-174,0
342187,-10,1009,257,218,953,151,-106,1000,-174,0
342203,-50,1000,287,172,944,202,-106,1000,-174,0
342218,-50,1019,277,154,981,222,-87,1038,-194,0
342234,-50,1039,257,163,972,191,-77,1038,-184,0
342250,-40,1019,287,163,972,171,-77,1028,-194,0
342265,-101,1000,316,163,972,191,-77,1028,-194,0
342281,-80,1009,287,163,962,212,-58,1019,-223,0
342296,-70,1000,277,136,962,191,-38,1009,-213,0
342312,-101,1029,237,145,962,171,-58,1009,-213,0
342328,-101,1009,277,154,981,141,-48,1000,-184,0
342343,-101,1000,287,145,990,151,-48,1000,-213,0
342359,-121,990,306,127,962,181,-48,980,-174,0
342375,-101,1000,287,145,953,202,-48,980,-174,0
342390,-80,980,297,200,935,202,-58,980,-184,0
342406,-20,960,346,190,925,222,-19,980,-145,0
342421,-101,990,267,218,907,262,0,961,-145,0
342437,-121,1019,227,245,898,222,0,961,-145,0
342453,-131,1039,237,227,944,141,19,980,-126,0
342468,-141,1009,207,190,981,70,29,990,-135,0
342484,-131,1019,207,200,953,101,38,971,-106,0
342500,-151,1019,217,172,944,101,38,971,-106,0
342515,-161,1019,217,200,935,111,19,980,-97,0
342531,-141,1019,99,181,944,121,38,1000,-97,0
342546,-202,980,247,109,944,141,0,1000,-97,0
342562,-222,1009,267,100,962,141,-9,1009,-116,0
342578,-222,1019,227,100,962,131,-9,1009,-116,0
342593,-191,1000,188,118,962,141,-9,1000,-67,0
342609,-191,1019,287,163,953,141,-29,961,-48,0
342625,-191,1009,217,172,944,181,-38,952,-38,0
342640,-242,1019,247,154,935,171,-38,952,-38,0
342656,-252,1049,227,109,972,151,0,980,-58,0
342671,-232,1049,207,109,1000,141,38,1000,-29,0
342687,-252,1098,198,154,981,151,29,1057,-67,0
342703,-252,1098,287,154,990,222,-19,1085,-67,0
342718,-292,1107,267,190,1018,181,97,1161,-165,0
342734,-272,1127,227,154,1027,151,87,1019,-58,0
342750,-262,1205,257,190,1027,111,48,952,-87,0
342765,-262,1205,257,263,1101,60,-58,990,-29,0
342781,-181,1411,138,454,1166,-30,-145,1076,-106,0
342796,-90,1607,168,672,1138,-60,-194,1152,-106,0
342812,-90,1607,168,772,1166,-90,-97,1200,-155,0
342828,-10,1617,217,772,1166,-181,38,1104,-223,0
342843,60,1676,247,763,1157,-171,67,1028,-223,0
342859,111,1735,316,690,1185,-90,48,990,-184,0
342875,232,1637,356,536,1203,40,19,952,-184,0
342890,90,1421,356,290,1148,202,9,895,-135,0
342906,-181,1019,465,-36,1046,292,58,866,-126,0
342921,-707,852,544,-272,990,323,106,866,-77,0
342937,-1020,774,554,-481,990,383,174,952,-58,0
342953,-484,627,257,-445,1046,303,213,1028,-38,0
342968,-111,362,237,-445,1046,303,213,1066,-87,0
342984,282,235,118,-281,944,171,165,1057,-97,0
343000,191,294,267,-281,944,171,116,1057,-87,0
343015,606,313,297,-336,842,141,77,1095,-106,0
343031,545,382,257,-227,944,131,58,1066,-77,0
343046,323,460,257,-190,888,80,19,1038,-67,0
343062,222,509,247,-209,888,60,38,1000,-48,0
343078,212,617,198,-209,907,10,38,1019,-19,0
343093,121,764,118,-172,879,0,38,1000,-19,0
343109,80,872,198,-154,851,0,48,1000,-29,0
