time,A_F,A_V,A_L,L_F,L_V,L_L,T_F,T_V,T_L,Action
670000,-151,990,267,63,990,80,-9,1019,0,0
670015,-151,1000,277,63,981,80,-9,1009,58,0
670031,-181,1009,247,63,981,70,-9,1019,38,0
670046,-161,990,237,81,981,80,0,1019,48,0
670062,-151,1000,257,81,981,80,-9,1000,38,0
670078,-171,1009,237,81,990,60,-9,1009,29,0
670093,-161,1000,267,72,972,50,0,1028,29,0
670109,-141,990,277,45,981,70,-9,1009,38,0
670125,-161,1000,257,54,990,50,-19,1019,29,0
670140,-141,990,247,63,981,40,0,1019,19,0
670156,-161,990,257,54,990,50,-9,1009,38,0
670171,-181,1009,247,54,990,70,-9,1019,19,0
670187,-161,1000,247,54,981,70,-9,1019,48,0
670203,-161,1009,247,36,990,80,-9,1019,38,0
670218,-151,1000,247,63,981,60,-19,1028,19,0
670234,-161,1009,237,54,1000,50,-19,1009,9,0
670250,-161,1019,237,54,981,50,-19,1019,29,0
670265,-171,1000,237,36,981,70,-9,1019,38,0
670281,-161,1000,237,36,981,50,-19,1019,29,0
670296,-161,980,237,54,990,50,-19,1019,29,0
670312,-171,1009,247,45,1000,50,-19,1019,19,0
670328,-161,1000,247,45,990,40,-29,1019,19,0
670343,-151,1000,267,27,990,50,-38,1019,19,0
670359,-151,1000,257,36,981,50,-19,1019,9,0
670375,-151,1009,217,54,981,70,-19,1028,9,0
670390,-171,1000,237,54,1000,60,-9,1019,29,0
670406,-161,1009,227,54,972,70,-19,1019,29,0
670421,-151,1000,237,36,990,40,0,1009,29,0
670437,-161,1009,257,45,990,40,-9,1019,19,0
670453,-161,1000,237,63,981,70,-19,1028,9,0
670468,-151,990,237,45,981,60,-9,1019,9,0
670484,-171,1009,227,45,981,60,-19,1009,29,0
670500,-161,990,227,45,990,60,-9,1028,9,0
670515,-171,1009,237,36,1000,60,-9,1019,29,0
670531,-161,1009,227,36,1000,60,-9,1028,29,0
670546,-161,980,237,45,990,40,-19,1028,38,0
670562,-151,980,267,45,981,70,-9,1019,19,0
670578,-151,1000,237,36,981,60,-19,1038,38,0
670593,-161,980,237,54,981,70,0,1038,19,0
670609,-161,1019,237,54,981,40,0,1019,29,0
670625,-171,1000,247,45,1000,50,-9,1028,38,0
670640,-161,1009,237,54,981,60,0,1019,29,0
670656,-161,1009,237,36,981,50,0,1019,19,0
670671,-161,990,237,45,981,70,9,1019,29,0
670687,-171,1019,227,45,1000,70,0,1028,9,0
670703,-171,1000,247,36,990,40,0,1009,38,0
670718,-171,990,247,54,990,70,9,1019,48,0
670734,-161,1000,247,45,981,40,0,1028,29,0
670750,-161,1009,247,36,990,70,0,1009,38,0
670765,-161,1009,237,45,990,70,0,1009,38,0
670781,-171,1000,247,72,953,60,9,1028,29,0
670796,-171,1000,247,54,981,70,0,1009,38,0
670812,-161,990,247,54,990,50,0,1000,29,0
670828,-151,1009,247,63,990,70,0,1009,38,0
670843,-161,1000,247,54,990,60,0,1009,38,0
670859,-161,1000,247,54,1000,60,-9,1019,19,0
670875,-171,1000,247,54,972,60,0,1038,19,0
670890,-171,1000,257,36,990,80,9,1028,38,0
670906,-161,1009,237,45,981,70,-9,1009,29,0
670921,-161,1009,237,54,1000,50,-9,1019,38,0
670937,-161,1000,237,45,990,70,-9,1009,9,0
670953,-171,990,247,27,990,70,-9,1009,38,0
670968,-161,1000,247,27,990,80,-9,1019,0,0
670984,-161,1009,227,54,972,70,-9,1009,29,0
671000,-161,1009,227,54,981,40,0,1028,0,0
671015,-171,1009,257,45,1000,50,-29,1019,19,0
671031,-171,990,237,45,981,70,-9,1019,38,0
671046,-171,1000,247,45,981,80,-9,1009,19,0
671062,-161,990,237,54,990,60,-9,1009,9,0
671078,-161,990,237,54,981,60,-9,1000,29,0
671093,-161,1000,247,54,981,70,0,1000,19,0
671109,-161,1009,257,45,990,60,-9,1019,19,0
671125,-191,1009,247,36,990,80,0,1028,19,0
671140,-161,1009,247,36,981,80,-9,1028,0,0
671156,-171,990,237,45,981,70,-9,1019,19,0
671171,-181,1000,247,45,981,70,-9,1019,29,0
671187,-171,1009,237,36,990,80,9,1000,19,0
671203,-171,1000,257,36,990,80,-19,1019,9,0
671218,-161,1000,247,36,981,60,-19,1019,9,0
671234,-171,1009,217,45,1000,50,-9,1009,19,0
671250,-171,1000,247,45,981,60,-9,1009,19,0
671265,-171,1000,217,36,990,60,-9,1028,19,0
671281,-181,1000,257,45,1000,70,-9,1028,19,0
671296,-191,990,247,36,990,60,-19,1009,0,0
671312,-171,980,257,27,1000,60,-19,1019,9,0
671328,-181,1000,267,27,1000,60,-19,1019,9,0
671343,-171,1000,237,36,990,70,-19,1028,19,0
671359,-181,1000,247,36,990,70,-19,1028,19,0
671375,-171,990,257,45,981,70,-19,1028,19,0
671390,-181,1000,247,45,1000,60,-29,1009,38,0
671406,-191,990,237,27,981,60,-19,1019,29,0
671421,-181,1009,227,27,990,50,-19,1047,0,0
671437,-171,990,257,27,990,60,-19,1019,19,0
671453,-181,1000,257,45,972,60,-19,1019,19,0
671468,-171,1000,247,45,1000,90,-29,1009,29,0
671484,-181,1019,247,45,981,70,-29,1019,19,0
671500,-171,1000,247,45,990,70,-29,1019,48,0
671515,-171,990,257,45,990,80,-19,1028,29,0
671531,-171,1000,267,54,981,80,-29,1009,29,0
