,0,Variance_A_F,STD_T_L,FI_A_F,FI_A_V,FI_A_L,EN_A_F,EN_A_V,EN_A_L
5827,0,129.1931152,10.62673469,0.2088121,0.19785872100000002,0.22837952,564225,66177982,2900396
1010,0,1218302.788,167.2127171,2.211116698,0.569717431,3.5864904930000003,95100630,92777583,35465995
9345,0,76434.04077,32.94769396,0.977540799,0.240671542,0.251568649,9383529,62431234,7084634
8576,0,294386.2478,97.36723608,0.570906797,0.459755952,1.1366468090000001,21979375,75595449,2519586
7598,0,137049.1169,49.88784296,0.594944617,0.155911156,1.087455278,12419721,76300428,5632880
3783,0,68.63842773,10.55370149,0.171044757,0.197690712,0.19921994699999998,851483,60475300,8646364
7356,0,156687.4912,78.29007404,1.018632754,0.49697754200000005,5.969538579,11005626,83617394,4162812
7219,0,0.0,11.16844353,0.19962854300000002,0.19962852399999997,0.19962851,16321600,45481536,9535744
8822,0,66.38183594,12.6173302,0.34248019799999996,0.203016957,0.256043833,23500,68472544,658948
6180,0,298807.6211,87.64705834,0.519713105,0.514629157,0.888485885,21348260,79173438,17400068
5826,0,105.3845215,11.59265493,0.19574033600000001,0.195760185,0.19762849300000002,537639,66308839,2781521
835,0,543333.7959,188.5194137,11.77005706,0.6841687190000001,2.400070634,38005268,90824401,28490633
10745,0,71.45996094,11.70603477,0.23736048199999998,0.193520997,0.237991929,3491196,64908420,1147416
2908,0,462043.5898,81.80626289,1.3937888269999998,0.150760223,0.494109322,31774530,74494211,12046934
194,0,3346.042725,31.81808261,1.676532102,0.206234681,0.445178498,691455,63476903,6290293
9896,0,91.31420898,13.2522109,0.232370023,0.194552869,0.19839448,6464431,61606281,1255876
3014,0,83.17871094,13.29266972,1.168246106,0.202912884,0.17835618399999997,17700,62412542,7236744
8819,0,93.92089844,212.62671769999997,2.273034483,0.201830144,0.22375381600000002,17300,68452264,638639
496,0,130.7556152,16.06194521,0.188557449,0.201226414,0.21815218100000003,6166831,44676341,19310630
7243,0,0.0,9.913973231,0.19962854300000002,0.19962852399999997,0.19962851,16321600,45481536,9535744
9326,0,569.032959,34.33096256,0.359374249,0.203124534,0.180332033,320907,64362812,5295729
2482,0,30828.558589999997,50.72188838,0.717082725,0.221270888,0.502527834,3484698,67176785,2113466
2201,0,941890.1523,225.8337244,1.269672344,0.389701919,0.418342129,65871830,131315335,18763761
10057,0,345.26928710000004,13.41894613,0.179583145,0.202442383,0.20602973100000002,1093581,66793961,1538456
5049,0,487555.4548,148.54628169999998,0.488441313,0.121125135,0.909843335,31352063,96073025,10557699
2971,0,81.03027344,12.30151001,0.29124755199999997,0.20342990100000002,0.203200993,360700,64638775,4510256
503,0,83.203125,15.53485716,0.180566826,0.19902581,0.205192873,6002926,44672386,19521864
3115,0,107424.1719,77.50556778,0.611393513,0.119771741,5.221258995,7140372,70101666,6530858
2146,0,954162.8044,177.6458956,1.1092181140000001,0.43245429399999996,4.663348082,70541273,131358022,14356819
2763,0,561194.0156,152.364537,2.085918984,0.305767905,1.400537991,41443618,80180417,27041594
5264,0,69.43359375,12.88234583,0.214708631,0.199740978,0.201813529,1161144,55550683,13313400
8214,0,34430.907960000004,60.92008565,0.6236593979999999,0.275501588,0.973360007,2725765,67782678,4457093
9031,0,64829.792720000005,39.9726469,0.357062658,0.252116305,0.38870636799999997,6795829,66257572,7903096
3096,0,72.24121094,11.84205958,4.569335934,0.198414332,0.21681685399999998,9700,65314949,4198416
8602,0,187488.625,96.71730991,0.505896484,0.28488076100000004,1.3779468419999998,13101772,85498750,4880647
9235,0,22592.18359,45.179089700000006,4.9022065,0.28574252899999997,0.153999238,2957570,62703628,7410029
1012,0,711806.6951,115.1939558,5.199459428,0.282174695,3.429210097,57458991,71098490,16794602
7101,0,123.41308590000001,11.94108871,0.206270423,0.198162477,0.205648583,3457276,62647123,3419856
115,0,1296694.578,150.5195551,5.896158432000001,0.30929654,0.978951838,87688135,78745997,26463264
415,0,771934.21,104.5191697,6.859911893,0.321447375,2.308779082,59870632,74064894,14439835
7447,0,223663.9961,81.53305862,0.6186908839999999,0.211704423,1.371164916,16190026,90340215,5792353
845,0,956100.0837,175.1393969,1.954745292,0.260063872,3.505526591,71039803,101090370,41678645
7780,0,2866.892334,13.30728147,1.340612986,0.196145305,0.185563222,1370219,67775706,366219
2845,0,56975.45996,55.12605406,1.239630165,0.25446137399999996,0.541654995,5293160,65286514,6570615
8993,0,65047.57592999999,54.19508444,1.33917185,0.225470118,0.275240074,8491005,61748396,7095653
8392,0,55.88964844,11.40479443,0.220694188,0.20076607300000002,0.22861974699999998,774022,66426740,2223866
3936,0,1638.2282710000002,39.25489806,0.08961906900000001,0.200076652,0.24175560100000001,408861,65883472,3597786
5004,0,635.0585937999999,528.3205666,0.554005061,0.19920707,0.236082397,52200,67875267,1674296
2383,0,291838.4844,143.3449584,1.1308935629999999,0.433391752,0.131780479,21750672,91090154,7610576
10537,0,117.329834,11.31577991,0.210146626,0.19909574300000002,0.298328947,375503,67857142,1193573
9202,0,62414.22827000001,50.11430051,0.945906955,0.563383078,0.519254227,7179397,62179908,7611918
8100,0,111.6345215,13.22003355,0.17210125899999998,0.19347502600000002,0.19412246100000002,538039,66631301,2401936
1238,0,577061.2188,121.9928116,5.183935829,0.360493149,1.1046086309999998,42586802,81144988,15474010
7674,0,188563.3884,53.72499191,0.616864535,0.13160992800000001,1.309315815,15338277,82634245,5281991
9636,0,224070.0935,104.7558872,2.915294538,0.510953949,0.885845943,15658677,83500371,12140705
1349,0,776.7751465,18.94636756,0.362817739,0.194504512,1.419451882,1124305,67908067,226886
9977,0,104.2724609,12.65998209,0.211511035,0.19847168399999998,0.150542237,4280196,63542352,1700636
10296,0,412854.375,60.90614578,1.401246196,0.270249792,4.578392166,31157656,86295671,7132147
3306,0,89.74609375,11.57208218,0.17611712,0.19955335100000002,0.19638670100000002,206000,56238090,13588000
1539,0,1587.4685060000002,27.63248891,1.35449993,0.192510603,0.421367764,649013,68018358,566675
6360,0,87.109375,10.85446157,0.211711055,0.201080946,0.19676344699999998,1428824,61625581,6647550
6976,0,10038.80054,81.34713995,4.635416824,0.287229018,1.245033433,1554747,67987617,3494440
8926,0,164893.8064,59.35517556,1.011195043,0.192941495,0.606127332,15736225,63364541,6505844
6452,0,55.44433594,14.2794378,0.22659950899999998,0.19421064300000002,0.203463965,1417864,61549000,6738244
1589,0,783887.6697,134.6555928,2.7452493280000003,0.522165571,4.346291206,57478399,71221926,9668899
8686,0,109662.5938,51.59246998,0.568337055,0.653337253,1.587205864,9721142,75075560,2263854
8190,0,109585.7021,76.70182317,1.244118976,0.154162883,0.68123026,7599858,67534328,4496419
7691,0,4793.975586,36.46638006,0.35110160100000004,0.34247259399999996,0.96974644,5117160,63024316,3978097
6091,0,477391.9568,51.03215898,0.963289527,0.818778997,4.252437018999999,35239769,70266887,9525636
8887,0,18635.03101,39.19626783,0.417512757,0.20378021,0.20191749,2882967,60731235,7449873
6961,0,88.25683594,10.73067849,0.17837673399999998,0.200040272,0.214448538,3371956,60574000,5739311
1463,0,94584.80835,80.45156825,1.5017425359999999,0.210837831,0.87811692,9828191,67329983,4220630
255,0,626101.613,74.71547593,2.291631698,0.285451069,1.027529411,44612197,76396447,23376102
1954,0,145790.574,113.07462620000001,1.2662965290000001,0.086763884,1.060908915,11773175,93433531,12243271
8238,0,19277.90527,77.93887203,0.9053588570000001,0.219647622,0.6129539270000001,2902404,65822808,3644088
4971,0,236174.4138,134.1354469,0.273923265,0.407129013,1.651629499,15283365,86316753,6465752
10486,0,1313.889648,31.44880124,0.25070851,0.201858011,0.274237086,912644,66337431,2407996
10589,0,72.24121094,11.60068652,0.220248516,0.202203438,0.20671176100000002,171700,66870903,2858986
2489,0,931895.0779,183.9611981,1.592868142,0.47780137,0.755193612,62881735,111406016,11148214
9968,0,84.28295898,12.71437271,0.21455817100000002,0.20170339399999998,0.190973125,6369031,61921681,1315276
6439,0,88.64746094,12.26366425,0.16952841300000002,0.20431673600000003,0.194318517,1396304,61450700,6782584
4910,0,852876.074,175.45863730000002,3.8218951989999996,3.689481595,2.627119569,54584241,97363336,19182268
4760,0,81.51928711,8.608169721,0.179100832,0.20319821,0.21074576,408601,47875391,21863896
794,0,691644.1318,136.5364311,5.075982219,0.427240096,1.042405248,48636460,78409464,13389457
10196,0,112.173584,12.71685912,0.216181325,0.20241215899999998,0.22306736300000002,5470501,56407491,8005384
6319,0,106.25,10.897505,0.211645282,0.203384948,0.20781044,1878224,62451362,5137344
6356,0,52.70996094,10.10809497,0.154645592,0.199284462,0.196338512,1435584,61452700,6724004
7716,0,30835.0,64.21674837,1.7144887819999999,0.205008739,0.735623855,2689156,70597867,2599854
7477,0,74.609375,11.49932063,0.209155365,0.200748433,0.19271206800000001,1092624,66995182,1246296
4081,0,143.95874019999997,14.43972352,0.199006244,0.19471722800000002,0.20331936,2866581,61648500,5289358
3685,0,966862.875,131.9761423,2.093566125,1.5184171830000002,1.872970045,64858300,91267690,7766283
