,0,RMS_A_F,Variance_A_F,RangeA_F,Minimum_A_F,STD_A_F,RMS_A_V,Variance_A_V,RangeA_V,EN_A_F,EN_A_V,EN_A_L
7413,0,455.8912459,144639.5818,2302,-848,380.3151085,1251.760454,92842.65991,1187,13301557,100281871,7930989
7086,0,231.2836462,102.2460938,40,212,10.11168105,988.7599715,81.51464844,39,3423496,62569362,3413816
9439,0,540.6666313,240819.7773,2786,-1090,490.7339171,1231.8224619999999,114531.4001,1510,18708506,97112741,6079041
2852,0,511.45212999999995,209428.1406,2888,-2171,457.63319440000004,1018.50227,48689.52734,1010,16741330,66390200,7123326
10419,0,327.9390187,62.47558594,30,313,7.904149919,950.6471398,71.80053711,39,6882816,57838719,4991550
1267,0,525.4773425,152508.2725,1848,-1717,390.5230755,986.1746961000001,77861.01563,1353,17672092,62242594,7835522
7199,0,494.0,0.0,0,-494,0.0,833.0,0.0,0,15618304,44408896,9048064
2774,0,735.4573301,461064.7478,4756,-1989,679.0174871,1193.6591,207489.0955,2019,34617439,91188611,8486945
8241,0,232.76503709999997,49602.194339999995,1353,-616,222.7155009,1023.069302,19456.87476,1079,3467492,66986931,4515646
2644,0,563.8012726,57.8125,30,-575,7.603453162999999,776.5563405,87.5,40,20343800,38594544,10614765
9412,0,479.3286483,184672.7205,2545,-919,429.7356402,1169.934747,41139.26465,1049,14704381,87599828,5338112
3785,0,113.8449466,81.96850586,51,-141,9.053645998,972.0733319,81.81152344,40,829483,60475300,8679844
8731,0,492.19944830000003,217419.5818,4191,-1000,466.2827273,1065.595454,35387.68335,1294,15504659,72671595,2540346
4729,0,78.15249516,77.31933594,30,-90,8.793141415,862.8630214,87.18359375,49,390900,47650086,21864269
2997,0,479.09294180000006,228279.7615,4828,-2121,477.78631359999997,1014.738759,42217.7959,1481,14689923,65900464,9082088
2924,0,201.380121,6761.173584,293,-313,82.22635577,907.4468046000001,2765.259521,236,2595453,52701421,15418964
10529,0,433.31812069999995,140049.6523,2191,-1262,374.2320835,1045.292281,56152.88452000001,1667,12016934,69928701,10817644
5311,0,140.0400612,17943.006840000002,868,-353,133.9515093,1018.824698,566.0290527000001,108,1255118,66432241,3069554
9261,0,376.4969289,99146.39746000001,2181,-161,314.87520930000005,977.6958323999999,12350.10522,568,9071996,61176905,7802727
8135,0,405.9883773,104724.9756,1474,-444,323.61238480000003,1076.452043,59527.80859,1000,10548900,74159936,5848160
1715,0,233.59282819999996,2317.650146,323,-383,48.14197905,1008.8393470000001,400.91772460000004,89,3492199,65136437,725606
2338,0,147.0663116,83.76464844,40,-171,9.152302903999999,1010.157878,66.421875,39,1384224,65306812,2932866
5526,0,668.7152327,78.88183594,40,646,8.881544682000001,593.8155359,96.38256836,39,28619524,22567481,17835973
2184,0,1018.031518,972418.697,7383,-3161,986.1129231000001,1349.258043,418678.2654,2862,66328843,116511825,14399228
9621,0,802.9148362999999,596759.1287,5767,-2444,772.5018632,1175.712743,171578.4705,2206,41259023,88467229,7752704
10619,0,255.31845919999998,61578.13452000001,1201,-232,248.14941969999998,1026.951983,15122.68359,755,4172001,67496344,3085249
2042,0,651.6750532000001,65.234375,30,-666,8.07677999,734.5282819,110.4040527,59,27179544,34530035,7661204
