,0,Minimum_A_F,Maximum_A_F,RMS_A_F,Variance_A_F,STD_A_F,RangeA_F,Minimum_A_V,Maximum_A_V,RMS_A_V,Variance_A_V,RangeA_V,Minimum_A_L,RMS_A_L,Variance_A_L,RangeA_L,EN_A_F,EN_A_V,EN_A_L
8203,0,-606,1000,379.1405783,94373.34937000001,307.2024566,1606,431,1529,1105.287236,74150.26465,1098,-465,257.4418927,25377.58569,999,9199845,78186232,4241685
6414,0,131,171,148.91608380000002,77.31933594,8.793141415,40,960,1000,981.1480839,106.61621090000001,40,306,324.5830017,94.43359375,50,1419264,61609700,6742664
7376,0,-888,858,345.5105823,89286.15527,298.8078902,1746,264,1715,1139.054693,103206.4336,1451,-772,240.68694010000002,26893.673580000002,1187,7640164,83036518,3707533
10675,0,151,242,212.87088959999997,323.62866210000004,17.989682100000003,91,990,1039,1008.825276,151.875,49,118,152.9070388,305.0537109,70,2900097,65134620,1496356
4503,0,-2000,2131,767.0005602000001,561224.4685,749.1491631,4131,245,2323,1255.3670650000001,213400.9521,2078,-1227,390.5792373,94629.18921,2306,37650551,100860574,9763337
10729,0,404,464,427.87965599999995,110.9375,10.53268722,60,921,970,945.6222075,83.36889648,49,0,28.66318414,173.71655269999997,59,11717184,57228887,52581
9139,0,-40,101,58.06852095,1048.411865,32.37918877,141,931,1098,1004.003323,1229.9255369999998,167,227,283.938181,947.0075684000001,119,215805,64513451,5159737
3969,0,232,292,266.8196957,237.109375,15.39835624,60,960,1019,983.6204251,206.15600590000003,59,188,216.6425628,169.9375,69,4556336,61920585,3003776
2240,0,-161,-111,127.1849048,102.5146484,10.12495177,50,980,1029,1004.937786,94.78491211,49,227,246.30824180000002,120.99609380000001,50,1035264,64633597,3882736
2951,0,-272,-222,247.82604790000002,99.609375,9.980449639,50,833,872,856.5486341,83.3125,39,524,545.6662212,113.18359380000001,40,3930736,46955236,19056104
4642,0,-30,0,12.05456345,48.41308594,6.957951274,30,833,872,852.5291051,102.9052734,39,584,606.1326432999999,122.90527340000001,49,9300,46515576,23513394
9726,0,292,343,310.41733500000004,94.16381836,9.703804324,51,970,1009,988.1226201999999,118.80859380000001,39,89,117.9509299,146.532959,59,6166971,62488724,890395
5191,0,-131,-80,105.4981487,134.3708496,11.5918441,51,1009,1049,1027.793328,89.0625,40,128,156.42070669999998,141.18652340000003,60,712311,67606984,1565916
3715,0,-1696,4545,746.5942045,529909.1211,727.9485704,6241,-156,2460,1119.20208,195411.6306,2616,-861,318.0048398,39708.29858,1504,35673786,80167251,6472133
4286,0,-111,-60,90.50923641,139.66381840000003,11.81794476,51,1000,1029,1012.10561,55.63452148,29,217,236.50502110000002,135.32714840000003,40,524283,65558897,3579816
10414,0,303,353,329.4279132,117.1875,10.82531755,50,931,970,950.3254212000002,83.95214844,39,247,278.18243789999997,153.58496090000003,59,6945456,57799578,4952670
8985,0,-454,1383,451.2478186000001,107950.3711,328.5580179,1837,647,1254,972.6412815,19504.49609,607,-99,348.0759615,16888.42871,782,13031974,60545988,7754040
9456,0,-1000,1696,512.9754807,235129.4531,484.9014881,2696,39,2254,1260.237409,221089.3044,2215,-2059,430.8669494,159599.3943,2811,16841206,101644693,11881365
4219,0,-373,-333,352.9654728,85.91308594,9.268931219,40,872,921,901.9541111999999,86.33496094,49,366,392.07728030000004,109.58984380000001,49,7973416,52065358,9838374
4419,0,-60,-20,44.51123454,94.43359375,9.717694878,40,1000,1058,1024.249908,127.83984380000001,58,158,193.06253030000002,138.64624019999997,59,126800,67141624,2385481
1553,0,-4707,3656,1222.597625,1287364.332,1134.6207880000002,8363,88,1980,1089.542966,218417.3271,1892,-633,385.96781760000005,101868.5928,2197,95663677,75974648,9534154
5941,0,-2292,1676,601.4360159,319789.9209,565.4997089999999,3968,362,2029,1150.904542,109453.9705,1667,-970,424.2630558999999,74850.94507,1870,23150418,84773201,11519945
7314,0,-494,-474,484.6471655,21.484375,4.635124053999999,20,813,843,827.875821,53.10058594,30,386,396.8678936,68.76464844,29,15032504,43864216,10080264
846,0,-4101,1101,986.7154478,814854.9336,902.6931558,5202,-19,2058,1084.736834,212759.5771,2077,-1811,665.2102699,309131.3806,4959,62310872,75305856,28320301
5420,0,626,666,644.5059154,88.18359375,9.390612001000001,40,578,617,592.6244727000001,91.96655273,39,524,556.5954545,106.25,50,26584824,22477041,19827104
1182,0,-757,575,301.2751027,61214.92871,247.41650860000001,1332,156,1823,1054.276811,128737.1631,1667,128,407.26851170000003,11823.656009999999,525,5809068,71135974,10615529
4185,0,-343,-303,320.9219142,70.21484375,8.379429799,40,882,931,909.0181087000001,118.1384277,49,376,402.85339689999995,95.88256836,49,6591416,52884091,10386615
7938,0,-343,515,173.0416767,23929.90405,154.6929347,858,460,1401,1027.9047560000001,51393.95996,941,-59,220.5647935,6911.614990000001,524,1916379,67621644,3113525
7568,0,-282,1040,274.38385519999997,52020.717769999996,228.08050719999997,1322,362,1725,1103.511051,77613.21068999999,1363,-19,232.16915299999997,10774.907959999999,424,4818336,77935145,3449761
8687,0,-373,1202,420.4858982,118719.8591,344.5574831,1575,460,1696,1110.596419,62835.65234,1236,-782,229.9741494,29921.65405,1237,11315737,78939162,3384839
1624,0,-4989,1080,1017.9797550000001,898386.6006,947.8325805,6069,-666,3843,1329.983664,523574.9158,4509,-3415,772.5291762,567039.6873,5484,66322098,113206819,38195285
9220,0,-565,1101,328.7464829,71234.24609,266.8974449,1666,666,1509,1001.2744460000001,19942.976319999998,843,138,324.582424,4963.788086,515,6916752,64163233,6742640
995,0,-656,1181,353.649544,85864.0,293.0255962,1837,401,1382,952.4914042000001,23757.37109,981,79,376.89004950000003,9766.14624,505,8004352,58063352,9090951
