,0,Minimum_A_F,Maximum_A_F,RMS_A_F,Variance_A_F,STD_A_F,Kurtosis_A_F,Skewness_A_F,RangeA_F,Minimum_A_V,Maximum_A_V,RMS_A_V,Variance_A_V,STD_A_V,Kurtosis_A_V,RangeA_V,Minimum_A_L,RMS_A_L,Variance_A_L,RangeA_L,EN_A_F,EN_A_V,EN_A_L
148,0,-1919,939,701.1484329,382316.8975,618.3177965,0.8514704209999999,-0.817699719,2858,9,3441,1075.689568,245351.6208,495.3298102,8.188621901,3432,-2079,549.0722572999999,180832.6631,3643,31462984,74054915,19294742
8379,0,90,131,117.14060729999999,87.71069336,9.365398728999999,-0.10897640300000001,-0.601515681,41,1000,1039,1018.7579910000001,79.95214844,8.941596526,-0.38422767799999996,39,158,189.4800039,128.4958496,59,878203,66423542,2297771
3457,0,-969,3090,500.6998852,241538.2959,491.4654575,21.27405188,3.7541564960000002,4059,68,2186,1045.550573,85222.74902,291.9293562,5.5532889270000005,2118,-158,317.4021995,28869.897460000004,1257,16044824,69963264,6447626
475,0,-333,-292,312.14732599999996,82.20288086,9.066580438999999,0.42063377799999996,-0.24768563100000002,41,813,852,833.1654716,93.47241211,9.668113162000001,-0.339463554,39,524,553.3241026000001,116.57714840000001,60,6235901,44426541,19594724
5097,0,-1191,2494,706.5434677999999,492139.7947,701.5267597999999,3.953054176,1.7669463090000002,3685,872,1343,1046.191568,8785.359131000001,93.73024662,1.628768901,471,-534,334.5307348,68164.47559,1316,31949035,70049075,7162292
9118,0,-1101,868,373.9999582,102614.9053,320.33561349999997,3.186312607,-0.787586514,1969,235,2137,990.3504508999999,101975.6541,319.33627110000003,2.31192931,1902,-108,351.2552936,20800.20215,1058,8952062,62770817,7896338
5938,0,-2424,1808,663.7646772999999,397026.5525,630.1004305,4.362635699,-0.394203614,4232,460,2000,1170.905045,119906.4678,346.2751331,-0.001454771,1540,-910,414.1071721,71549.73438,1761,28197347,87745192,10975024
4918,0,-1919,848,631.8588153,385358.4131,620.7724326,1.791499461,-1.332849054,2767,127,2205,1258.43098,242467.3975,492.4097861000001,-0.332694566,2078,-910,423.7274699,104451.8428,2018,25551716,101353506,11490878
9316,0,0,121,72.7142309,875.4938965,29.58874611,-0.40611896200000003,-0.29225606600000004,121,950,1166,1003.651007,992.8818358999999,31.51002755,9.096851747999999,216,227,286.6100628,626.1560059,139,338391,64468182,5257301
1491,0,-3171,1464,764.2003377999999,423877.1318,651.0584704,7.353040249,-2.12793226,4635,431,1705,1039.039663,87058.22632,295.0563104,-0.05392657,1274,-1792,386.0061933,121889.1006,2742,37376138,69094619,9536050
5195,0,-151,-80,102.3646973,144.53808590000003,12.02239934,2.852681664,-0.7657605820000001,71,1000,1049,1027.820684,113.17944340000001,10.63858277,0.133900641,49,118,143.3568537,146.85058590000003,60,670626,67610583,1315276
3151,0,10,60,43.51723796,140.234375,11.84205958,0.111932713,-0.5354245360000001,50,980,1039,1005.761799,118.0212402,10.86375811,1.3959100469999999,59,237,271.0985464,197.32006840000003,69,121200,64739635,4703643
6496,0,-2929,1505,648.0457401000001,395097.9336,628.5681615,7.869044601000001,-1.142328425,4434,333,2078,1149.843488,160359.2146,400.4487665,-0.06899503,1745,-356,413.5054602,68576.76538,1326,26877650,84616963,10943153
8738,0,-747,949,328.3705986,85719.27734,292.7785466,2.310988789,0.6145514870000001,1696,705,1558,1060.8378619999999,19001.694340000002,137.8466334,2.772843445,853,-1396,249.74562059999997,44450.35938,1841,6900944,72024126,3991864
3248,0,-60,-20,37.62479236,78.80859375,8.877420445,-0.032881432,-0.594371645,40,911,950,936.1086257999999,57.10327148,7.556670661,0.7031414779999999,39,435,467.4732613,121.06933590000001,50,90600,56083159,13986000
9566,0,-1878,4020,754.3470272000001,506273.5303,711.5290087000001,12.23065409,2.463820693,5898,117,2705,1168.155183,207146.7568,455.1337791,2.9369302210000003,2588,-1366,379.4964591,121620.5693,1999,36418524,87333538,9217124
8638,0,-464,2676,475.02744989999997,174864.2302,418.1677059,17.75411472,3.839587535,3140,617,1823,1100.2132390000002,26011.06421,161.27946,5.802190915,1206,-801,224.0794711,27903.386469999998,1385,14441669,77470027,3213543
1417,0,-2040,1696,765.9397822000001,468692.9678,684.6115452,1.3509113519999998,-0.47008310700000006,3736,156,2352,1212.44074,221031.6814,470.1400657,-0.138672714,2196,-1158,342.49676089999997,81842.43359,2009,37546480,94080803,7507458
2997,0,-2121,2707,479.09294180000006,228279.7615,477.78631359999997,19.83074268,1.6654314280000002,4828,264,1745,1014.738759,42217.7959,205.4696958,7.421465873,1481,-198,376.70628480000005,37699.71484,1643,14689923,65900464,9082088
6281,0,50,101,77.06612421,177.42871090000003,13.32023689,-0.648052226,0.52187805,51,1000,1039,1020.3058900000001,82.16381836,9.064425981,-0.42261930799999997,39,168,197.8636289,186.9567871,49,380108,66625543,2505601
4142,0,-1858,1767,385.3545851,141753.6406,376.5018468,14.27764724,0.385205688,3625,235,2264,1019.830608,103453.9209,321.6425359,3.723436202,2029,-396,672.9459952000001,297250.7178,3752,9503882,66563486,28982804
8825,0,10,111,63.12475247,954.5759277000001,30.89621219,-1.4895702080000002,-0.13611815900000002,101,960,1058,1010.64799,583.2927246,24.15145388,-0.9908825440000001,98,79,253.080459,10298.19434,257,255023,65370199,4099182
4568,0,-292,40,137.65389119999998,4928.553711,70.20365881,-0.130408965,-0.42133639,332,833,1215,1023.472574,5150.825928,71.76925475,1.3291523840000001,382,19,188.4685816,2179.928711,218,1212710,67039751,2273306
9869,0,292,343,319.6861498,89.02905273,9.435520797999999,0.272721091,-0.318615971,51,960,1000,981.3033425000001,104.6875,10.23169096,-0.24370683899999998,40,99,135.30942549999997,155.28881840000003,59,6540751,61629200,1171753
1167,0,-343,-303,319.0830613,92.87109375,9.636964966,-0.5754328000000001,-0.047669039,40,882,941,903.9466159,214.20483399999998,14.63573825,-0.273220728,59,396,419.9173096,127.36694340000001,49,6516096,52295647,11285155
10437,0,50,90,68.62488616,110.83984380000001,10.52805033,-0.6050666610000001,0.043150929000000005,40,1000,1049,1027.501696,99.81030273,9.990510634,0.23353896899999999,49,148,179.25523,169.70214840000003,50,301400,67568623,2056476
6976,0,-141,464,155.8618679,10038.80054,100.1938149,2.7010500719999997,0.22942899100000003,605,607,1794,1030.682548,40722.53882,201.79826269999998,3.9751002310000003,1187,-39,233.6677663,7728.375,553,1554747,67987617,3494440
9551,0,-717,3333,514.8088237,236340.2344,486.14836660000003,25.65668363,4.003476063,4050,19,2764,1061.462457,115263.7712,339.50518589999996,10.85570975,2745,-1613,394.9244983,131026.0408,2543,16961800,72108963,9981783
8548,0,-616,1727,533.2444327,231922.9365,481.58377930000006,1.922068048,1.316639229,2343,352,1823,1204.05745,128619.6162,358.635771,-0.539204796,1471,-1148,253.3845583,38277.702880000004,1613,18198376,92784278,4109039
5686,0,-1929,3292,733.2963248,506328.0898,711.5673473999999,7.939715764,1.152619717,5221,-78,2245,1256.131095,273023.1775,522.5161983,0.127604364,2323,-1643,372.3785666,109930.2498,2593,34414304,100983381,8874611
3387,0,-3313,1171,569.0696904,323840.2148,569.0696046,16.0345748,-2.699908523,4484,-196,1833,1159.239891,208680.0586,456.8151252,0.7263184229999999,2029,-475,384.9181122,48848.3396,1732,20725780,86005576,9482365
8286,0,-313,2131,360.9510441,102177.0381,319.6514322,21.18031814,4.069650309,2444,686,1529,1026.355689,15363.41309,123.94923590000002,4.360650293,843,-227,220.1968934,18768.14429,989,8338282,67417984,3103147
9002,0,111,202,153.20467319999997,381.91967769999997,19.54276536,-0.403802596,0.23384699899999997,91,941,1029,988.7733088,293.265625,17.125,0.006514103,88,277,312.41731410000006,172.8083496,69,1502187,62571050,6246693
5425,0,616,656,646.2106371,70.28808594,8.383799016000001,1.139277959,-0.824863184,40,578,617,591.2937484,70.21069336,8.379182141,0.032873994,39,514,556.4890498,161.69433590000003,80,26725644,22376211,19819524
8015,0,-686,686,219.42214590000003,35039.40601,187.18815669999998,5.0376106830000005,-0.777895344,1372,421,1558,1092.890033,41268.225589999995,203.1458235,1.91398698,1137,-1000,250.9788026,30629.722410000002,1405,3081349,76442152,4031383
4849,0,-2333,1323,698.8893421,479109.9219,692.1776664,2.035633004,-1.03894389,3656,186,2294,1308.5462949999999,258460.3438,508.3899524,-0.23142453600000001,2108,-762,392.9793053,96449.59937000001,2108,31260564,109586778,9883695
4858,0,-3707,2606,783.4080094999999,605168.9685,777.9260687999999,7.647686225,-1.1900104120000001,6313,78,2529,1215.082829,259610.46,509.51983269999994,0.87716475,2451,-1336,390.60481949999996,81749.60938,2425,39278599,94491282,9764616
9067,0,-333,1636,346.91511030000004,78886.95313,280.8682131,10.79624648,2.621372789,1969,784,1254,987.0092372000001,8604.636475,92.76117978,0.944158869,470,-356,340.81508460000003,20780.111080000002,880,7702406,62347983,7433915
8758,0,-414,878,168.05249369999999,21172.50952,145.5077645,15.14088197,1.399453066,1292,941,1549,1076.070985,8242.210693,90.78662178,10.00283503,608,-168,154.1250507,6148.558594,682,1807465,74107441,1520290
7905,0,-333,1525,295.19831789999995,68016.02124,260.7988137,12.59366049,3.170983299,1858,823,1539,1031.127137,7948.507568000001,89.15440297,15.69353626,716,-118,170.82396819999997,8843.394287000001,583,5577091,68046283,1867573
8882,0,-10,121,73.29659354,851.9294434000001,29.1878304,-0.731479608,-0.215535919,131,941,1058,988.9692234999999,866.0927733999999,29.42945418,-0.07957832299999999,117,306,337.44638460000004,237.86621090000003,70,343833,62595848,7287684
6728,0,60,80,65.64583003,43.65234375,6.606992035,-0.38824077,0.860259071,20,990,1039,1011.708278,73.65795898,8.582421511,0.717202166,49,207,242.73236290000003,127.90527340000001,60,275800,65507433,3770816
3699,0,-1666,4939,923.2558472000001,815579.3474,903.0943181,12.75171791,2.772174783,6605,-1137,2500,1119.900672,405332.0017,636.6568948,2.119204832,3637,-1435,404.869983,123008.3201,2642,54553687,80267361,10490861
769,0,-4262,2595,944.3337018999999,773591.3357,879.5404116000001,8.727037357,-1.864217169,6857,-49,4372,1158.2589169999999,272795.4336,522.2982228999999,23.72990071,4421,-2049,611.9690045,215803.4219,3751,57073033,85860078,23968388
9857,0,292,343,319.3950825,112.60839840000001,10.61171044,-0.08386078400000001,-0.370933434,51,950,1009,981.7447956,112.49609380000001,10.60641757,0.93747335,59,108,136.0558249,108.56933590000001,50,6528846,61684662,1184716
