,0,Minimum_A_F,Maximum_A_F,RMS_A_F,Variance_A_F,STD_A_F,Kurtosis_A_F,Skewness_A_F,RangeA_F,Minimum_A_V,Maximum_A_V,RMS_A_V,Variance_A_V,STD_A_V,Kurtosis_A_V,Skewness_A_V,RangeA_V,Minimum_A_L,RMS_A_L,Variance_A_L,RangeA_L,P_A_F,P_A_V,EN_A_F,EN_A_V,EN_A_L,ENt_A_F,ENt_A_V
3062,0,-3636,5080,1225.2953730000002,1445667.499,1202.3591390000001,6.835322532999999,0.8077144,8716,-196,4588,1298.096732,391646.4834,625.8166532,12.53671331,2.317584929,4784,-1841,438.13393360000003,158483.7803,2573,9889244.779,11553773.18,96086320,107843528,12285526,3.1850936610000002,3.069773683
10661,0,-797,2545,678.3279189,396206.7048,629.4495252,4.757762133,1.989022415,3342,127,1960,1208.840954,172255.5427,415.03679680000005,0.06445055200000001,-0.395717968,1833,-1722,365.5172705,110688.4844,2236,2406775.776,8045909.373,29448241,93522973,8550584,2.078001127,1.191997518
8155,0,-303,1181,250.297292,50832.364989999995,225.4603402,9.921538165,2.669783534,1484,813,1186,1027.4546369999998,4589.545897999999,67.74618734,1.4159176430000002,-0.566793404,373,-168,208.93042350000002,19223.208740000002,643,294841.6774,4324994.59,4009519,67562434,2793723,2.780909872,2.487020594
3161,0,-161,40,48.62869523,1712.905273,41.3872598,1.300497944,-1.00314537,201,872,1068,963.6219354,1469.05835,38.32829698,0.790018003,0.312231841,196,316,402.14833239999996,1222.890625,159,64316.916939999996,3831066.2389999996,151344,59428303,10350290,2.265933853,2.466075114
5727,0,-1878,1000,629.4174886,367963.3711,606.5998443,0.839528583,-0.6491264529999999,2878,19,2303,1309.943934,302417.8845,549.9253445,-0.321634984,0.105968569,2284,-1257,428.760951,143704.5955,2316,13846781.11,15670112.57,25354648,109820999,11765501,2.512256105,1.454404026
614,0,-191,-30,113.03629120000001,1584.224365,39.80231608,-0.475056971,0.052103582999999995,161,931,1078,991.2598439,855.704834,29.25243296,1.3561921780000001,0.675607372,147,247,322.72765710000004,1302.64624,208,93982.60822000001,4160180.49,817741,62886149,6665801,2.641926075,2.751708947
7625,0,-353,555,195.9644419,30805.85059,175.5159554,1.428817547,-0.49157125100000004,908,323,1558,1054.9026609999999,66738.13965,258.3372595,1.0630525929999999,-0.504745882,1235,-59,243.1415161,11436.98022,573,384808.6279,4863095.137,2457732,71220456,3783539,2.402488616,1.4815180319999999
10423,0,-717,1848,437.7571744,154851.2959,393.51149399999997,7.521246967000001,1.9216010819999998,2565,450,1882,1080.644874,50015.78125,223.6420829,3.2598493489999996,0.35378850799999995,1432,-950,285.7400753,52036.50952,1425,7006027.295,6398876.228999999,12264406,74738774,5225433,2.4793510569999997,2.7315900930000003
571,0,-323,-70,223.7763951,2347.280273,48.44873862,1.311888977,0.759690635,253,931,1098,1001.982925,1155.303711,33.98975891,0.322414413,0.25484807600000003,167,59,210.6655747,2143.3122559999997,247,276909.1815,4232240.206,3204856,64254066,2840319,2.800830786,2.978516874
10707,0,-141,272,129.1600872,4702.341553,68.57362141,2.8362784660000004,-1.38500972,413,990,1078,1025.2702769999999,265.8395996,16.3045883,1.087469327,0.291631538,88,79,174.25883230000002,851.9743652000001,178,92690.4163,4452919.569,1067669,67275465,1943433,2.549010941,3.033213136
