,0,Minimum_A_F,Maximum_A_F,RMS_A_F,Variance_A_F,STD_A_F,Kurtosis_A_F,Skewness_A_F,RangeA_F,Minimum_A_V,Maximum_A_V,RMS_A_V,Variance_A_V,STD_A_V,Kurtosis_A_V,Skewness_A_V,RangeA_V,Minimum_A_L,Maximum_A_L,RMS_A_L,Variance_A_L,STD_A_L,Kurtosis_A_L,RangeA_L,P_A_F,P_A_V,P_A_L,EN_A_F,EN_A_V,EN_A_L,ENt_A_F,ENt_A_V,ENt_A_L
4513,0,40,101,68.89768229,146.236084,12.09281125,0.13279991300000002,-0.24362418600000002,61,1009,1049,1027.7978890000002,98.4375,9.921567416,-0.48526077100000004,0.059994360999999996,40,138,178,154.7435378,104.2724609,10.21138879,-0.379447545,40,21835.01447,4427629.348,92103.75329,303801,67607584,1532516,2.810513883,3.107545064,2.9699389060000003
6459,0,121,161,147.94128899999998,65.79589844,8.111467095,0.595422706,-0.38901671600000004,40,960,1000,980.5124617,85.71777344,9.258389354,-0.343674569,0.14330917699999998,40,297,356,326.9928564,128.1306152,11.31947946,-0.076551593,59,93631.48685,4041450.995,459869.7577,1400744,61529900,6843157,3.1338013489999996,3.12751358,3.224569202
5352,0,-60,-30,45.25966748,65.40527344,8.087352683999999,-0.444150451,-0.240540857,30,862,901,879.1971391000001,99.37084961,9.968492845,-0.605106339,0.35692258299999996,39,534,594,566.2881334,113.96484380000001,10.67543178,1.155050081,60,8636.047686,3218410.0039999997,1361276.7659999998,131100,49471207,20523664,3.020430471,3.1624965730000003,3.075741398
1004,0,-1838,252,373.9885526,66290.875,257.47014390000004,19.0696577,-3.286888396,2090,598,1529,961.9280037000001,20399.195069999998,142.8257507,4.069005184,0.849765232,931,-396,1000,407.70750089999996,26068.76563,161.4582473,10.06014248,1396,1241388.66,4964803.166999999,977489.0488,8951516,59219551,10638426,2.986658572,2.666470977,3.1622478689999998
6584,0,-1333,2424,591.1024392999999,330280.3896,574.7002607000001,5.40626897,1.8617908380000001,3757,470,1558,1053.207667,56602.45288,237.91270010000002,0.731241725,-0.153237082,1088,-524,2138,668.5512321,227731.9521,477.21269069999994,3.516136888,2662,10581250.07,5077586.836,14009772.58,22361734,70991769,28605488,2.9597937589999996,2.1917583019999998,2.2242212319999997
3921,0,-575,1606,426.3797823,140641.4531,375.0219369,4.295557222,1.3873747280000002,2181,-88,1794,1031.9044210000002,87292.86499,295.45365960000004,3.643484646,-0.78035667,1882,-445,564,265.6477343,24585.27734,156.7969303,3.85864214,1009,4675329.086,4487591.908,416303.8271,11635182,68148911,4516398,2.795956957,2.717656546,2.578316505
2401,0,-1797,1888,594.9857141,294791.8193,542.9473449,4.588584033,-0.297014558,3685,137,1941,1145.353077,155771.9119,394.6795053,-0.08365101,0.17755914,1804,-643,534,329.86353710000003,49235.82202,221.8914645,3.881300692,1177,835139.6082,5907086.698,882047.4712,22656512,83957355,6963837,2.8180471369999998,1.58377292,2.496073672
1433,0,-454,90,257.6165998,16386.12109,128.00828529999998,-0.043464999000000004,0.48074536,544,754,1176,994.9841943,6456.476318,80.3522017,0.761025836,-0.325221611,422,-475,821,302.0465351,46162.146239999995,214.8537787,2.9391662289999996,1296,641907.9508,5015508.57,816934.4477,4247444,63359587,5838855,2.1508455090000003,2.2049338990000003,2.022205317
1546,0,-1666,838,559.9424636,225307.99899999998,474.66619749999995,0.85602651,-0.545611344,2504,49,2156,1103.339236,217482.4648,466.35015260000006,0.035126292999999996,-0.049364727000000004,2107,-59,792,280.6024211,34611.46484,186.0415675,1.35279171,851,2571599.057,7369865.935,682967.3827,20066276,77910878,5039214,2.885923195,1.7064398619999999,2.3315963230000003
5512,0,646,686,668.5631047,84.375,9.185586535,-0.6954732509999999,-0.151203071,40,578,627,598.872978,72.43359375,8.51079278,1.297843114,0.271406101,49,495,564,527.9790775,208.85839840000003,14.45193407,0.153359633,69,1862757.927,1515749.4630000002,1147810.4740000002,28606504,22953526,17840762,3.1248093960000003,3.07079307,2.942316435
3227,0,-60,-20,38.77015605,73.33984375,8.563868504,-0.213684018,0.013119094,40,921,960,935.4697767000001,89.61889648,9.466725753,-0.153469843,0.266183152,39,435,485,461.8305966,103.2958984,10.16345898,0.503450101,50,6166.65127,3690656.874,896312.8107,96200,56006637,13650400,3.001689125,2.938603183,3.0091422910000003
3015,0,-10,30,14.36140662,93.359375,9.662265521,-0.303741181,0.290674832,40,960,1009,985.1957372000002,108.5895996,10.42063336,-0.27309461399999996,-0.186177564,49,316,366,340.3785576,108.76464840000001,10.42902912,0.07062469099999999,50,2605.872011,4073151.627,479429.3732,13200,62119081,7414884,3.0155762619999997,2.980396631,2.956976295
4824,0,-626,373,255.7029221,38122.87866,195.2508096,0.8840491,0.317762085,999,539,1401,1014.110633,47144.39746,217.12760640000002,-0.39801684,-0.082989984,862,29,514,263.9604611,10261.0625,101.2969027,0.8575895590000001,485,716360.7247,6148090.467,393938.44200000004,4184575,65818904,4459208,2.011985659,1.648628007,1.9550074419999999
4729,0,-90,-60,78.15249516,77.31933594,8.793141415,-0.707811422,0.215624591,30,843,892,862.8630214,87.18359375,9.337215524,0.146511234,0.22355434600000001,49,564,613,584.4905501000001,116.8005371,10.80742972,-0.178840275,49,26721.876790000002,3118236.229,1412526.5159999998,390900,47650086,21864269,3.0717905969999997,3.126899158,3.0313944210000003
4561,0,474,494,480.4562285,48.02246094,6.929824019,-0.767107192,0.615349919,20,901,921,912.421435,27.70996094,5.264025165,0.279648353,0.14357491,20,99,118,109.76402250000001,27.07397461,5.203265764,-0.065520102,19,982172.265,3475514.347,55367.57482,14773644,53280824,771081,2.316798825,2.985258499,2.541968336
2426,0,-121,-70,91.4092788,137.10058590000003,11.70899594,-0.492177501,-0.224832308,51,990,1039,1014.1831300000001,86.21459961,9.285181722,-0.03186626,0.029688343,49,188,247,224.1278583,218.16772459999999,14.77050184,-0.852842222,59,34069.55715,4279698.784,232117.4828,534762,65828315,3214931,2.588300212,3.020082252,2.335254543
10207,0,272,313,297.2775166,62.79858398,7.9245557589999995,0.420818481,-0.289851737,41,911,960,934.7096725,70.65795898,8.40582887,0.740874626,0.15370673699999998,49,336,386,361.1687625,121.875,11.03970108,-0.065088757,50,379678.5233,3637076.962,562521.8893,5655931,55915659,8348344,3.0822577160000004,3.037990249,2.940800692
8170,0,-1131,848,329.5081088,86272.03809,293.7210208,4.788703464,-0.66818352,1979,539,1549,1082.724883,51573.19897,227.09733369999998,-0.11550977,-0.218470108,1010,-1069,485,257.10804509999997,47587.29077,218.145114,13.14712173,1554,1254518.305,7633357.752,953383.5964,6948838,75026763,4230691,2.655467383,1.6770476109999999,2.949729081
1488,0,-1878,747,568.619834,212741.0916,461.23864919999994,1.040985722,-0.676636509,2625,166,1705,1092.070525,135898.2803,368.6438393,0.24858977899999998,-0.7341569170000001,1539,-207,683,267.87424169999997,34537.75952,185.8433736,0.755125222,890,2660402.912,8228040.02,1114511.615,20693025,76327554,4592423,2.345797587,1.584119786,2.276280236
9841,0,292,333,317.5174946,100.3864746,10.019305099999999,-0.613378827,0.053026098,41,960,1000,982.5445283,87.5,9.354143467,-0.433673469,-0.28635133100000004,40,108,158,134.0053637,143.53027340000003,11.98041207,-0.601775484,50,418283.3114,4053134.51,79594.76908,6452311,61785200,1149276,3.04582559,3.117724148,3.071403164
3734,0,20,70,42.66512041,79.85839844,8.936352636,0.68218835,0.050834634000000004,50,980,1029,1007.9631609999999,83.22827148,9.122953002000001,1.089675107,-0.585469546,49,237,297,276.4749084,141.57714840000003,11.8986196,0.491427291,60,7451.300566,4283607.937,310416.6289,116500,65023343,4892056,2.982760745,3.013946919,3.035006925
2272,0,-2787,4888,1048.937282,1038276.203,1018.958391,9.177323937,1.161019721,7675,49,2539,1283.102082,332211.1365,576.3775989,-0.19413296800000002,0.42314994,2490,-762,861,400.52368060000003,85463.0459,292.34063330000004,2.6489401569999997,1623,25523163.37,26474072.67,3362449.9060000004,70417243,105366461,10266830,3.2268930339999997,1.747697321,2.753505617
55,0,-4545,1111,953.9667431,745381.4431,863.3547609,7.3572411870000005,-2.3593902769999997,5656,-294,3941,1173.816359,348697.999,590.5065614,7.639414067000001,1.6138494980000002,4235,-1306,950,471.97485700000004,94987.52905,308.2004689,11.99216631,2256,12716958.2,17097636.65,2358055.048,58243363,88182070,14256657,2.6343532869999997,2.821686741,3.2192865239999997
2784,0,-2636,828,764.0482642000001,473711.6875,688.2671629,2.875334987,-1.668795019,3464,176,2156,1036.944264,116812.4063,341.7782999,1.7245780990000001,0.662629094,1980,-1029,871,430.1681176,98911.53101,314.50203660000005,4.1271086089999995,1900,18768441.24,9051717.585,2504270.1,37361264,68816218,11842855,2.598125125,2.75575786,2.735882475
7237,0,-505,-505,505.0,0.0,0.0,-3.0,0.0,0,843,843,843.0,0.0,0.0,-3.0,0.0,0,386,386,386.0,0.0,0.0,-3.0,0,1066674.563,2972380.25,623194.8434,16321600,45481536,9535744,0.0,0.0,0.0
710,0,-3202,2636,1005.3399529999999,855829.2791,925.1104144999999,3.55488939,-1.030609753,5838,-284,3627,1160.577692,349782.3064,591.4239650000001,5.047848707,1.528529714,3911,-1504,1118,507.7444762,130076.3943,360.6610518,11.22772249,2622,30619516.97,9806255.412,4053090.435,64685339,86204197,16499485,2.835439238,2.6377203259999997,2.919382985
8079,0,90,131,107.37470900000001,83.67163086,9.147219843,-0.192793081,-0.023926252000000002,41,1009,1049,1024.5052460000002,74.78027344,8.647558814,-0.031485715,0.145292741,40,128,178,151.3685486,120.87402340000001,10.9942723,-0.19982334699999998,50,49029.589589999996,4383313.685,90352.77691,737877,67175104,1466396,3.1414060160000004,3.1122627439999997,3.0328509919999997
454,0,-333,-282,308.83882830000005,83.80249023,9.154370007999999,1.191243845,0.45114880399999996,51,813,872,842.5668186,112.59375,10.61102021,0.8544362259999999,-0.46238042700000004,59,504,584,539.0495687000001,221.85058590000003,14.89464957,0.461598481,80,401500.1945,2976227.2610000004,1219035.62,6104411,45434806,18596764,3.059314783,2.9558044619999997,2.9842924760000002
2769,0,-2212,1282,606.685694,320407.1836,566.0452134,3.4218009080000003,-1.197542948,3494,196,1990,1174.26469,149571.0,386.7441014,0.14479645,0.257384845,1794,-792,980,405.3403662,103846.2969,322.2519152,1.3990967490000001,1772,1225075.852,8697927.29,1529608.507,23556322,88249444,10515252,2.565684126,1.7549626619999998,2.7093215330000002
442,0,-343,-252,307.7767048,304.7333984,17.45661475,0.482368746,0.39291219899999996,91,794,921,863.5660079,815.4287109,28.5557124,0.135174314,-0.233442641,127,415,613,507.8624475,2694.068115,51.90441325,-0.7987588309999999,198,417272.7642,3054755.9760000003,1134672.7,6062496,47727760,16507153,2.915395539,2.3623393480000003,2.0609285180000003
3607,0,-151,-111,127.4205635,83.17871094,9.120236342,-0.36006653899999996,-0.10707770400000001,40,901,931,916.6588787999999,62.109375,7.880950133,-0.379969147,-0.20649267699999999,30,465,514,489.538638,114.3063965,10.69141695,0.25451474399999996,49,70718.46982,3519930.377,1003227.792,1039104,53776864,15337477,3.193439826,2.8415977000000003,3.119602581
9723,0,272,313,295.2594463,125.4821777,11.20188278,-0.7225653759999999,0.015091625,41,960,1019,990.1515350999999,114.42871090000001,10.69713564,0.82455123,-0.243730115,59,89,158,122.3348376,188.3710938,13.72483493,-0.091109532,69,357795.2719,4116194.1769999997,62529.12998,5579401,62745604,957812,2.9856893419999997,3.016639531,3.022394
4984,0,-1242,979,418.45526939999996,154682.6162,393.29710930000005,1.853425081,-0.574961624,2221,578,1931,1049.868712,47559.499019999996,218.0814046,3.772807367,0.817523681,1353,-851,643,311.2574296,46775.163089999995,216.27566459999997,13.07910915,1494,6421863.669,3471248.52,1736577.4530000002,11206708,70542356,6200396,2.63184744,2.2930501,2.9902025830000003
10126,0,-1686,3616,756.019221,464104.0273,681.2518091,8.966543266,2.189764523,5302,421,2343,1231.0265980000001,133442.5564,365.29790089999995,1.5910482730000002,0.962347032,1922,-1386,851,377.26745730000005,122197.7849,349.5679976,7.1326765320000005,2237,20267822.11,10809650.87,5190545.731000001,36580164,96987295,9109167,2.7512397760000002,1.950988245,2.7936217439999997
5328,0,-60,-10,33.70367191,69.50683594,8.337075982,1.3330113259999998,0.206216657,50,862,901,880.4662561000001,78.15014648,8.84025715,-0.06672644,-0.389229166,39,534,584,562.2330477999999,121.484375,11.02199506,0.087612825,50,6061.769498,3248047.043,1334307.863,72700,49614133,20230784,2.974381807,2.9340840530000003,2.963278564
5957,0,-1353,1515,559.5783848,256662.3281,506.6185233,1.231762034,0.270085576,2868,313,2029,1112.3662279999999,122420.6162,349.88657620000004,0.27269620899999997,0.23799542399999998,1716,-980,871,400.41213139999996,63258.68359,251.51279010000002,9.420470517,1851,3006261.269,7281993.471,1286284.1940000001,20040190,79190952,10261112,2.7967062730000003,1.94592481,2.820655165
8589,0,90,131,114.5384761,108.80859380000001,10.43113578,-0.031240362999999997,-0.369793291,41,1000,1049,1023.907825,99.21459961,9.960652569,0.025703512999999997,0.161745089,49,118,168,146.10334530000003,130.44433590000003,11.42122305,-0.267853861,50,50376.82403,4382503.469,94625.6385,839620,67096783,1366156,2.905255645,3.09402923,3.0415879830000003
9035,0,-101,464,185.2797294,6933.156006,83.26557515,3.557614918,-0.206196401,565,892,1245,998.6270262,5053.178711,71.08571383,2.694518918,1.7255416190000001,353,207,425,362.50984900000003,2184.3747559999997,46.73729513,0.953970572,218,96846.23136,4317976.718,470954.1704,2197029,63824380,8410457,2.742516933,2.6313952780000003,2.394715799
